SubExp,Group,Cond1,Cond2,Cond3,Condition,Context,Item,StimAnt,StimResp,Audiostim,QUD
SI3,8,Cleft,Island,PS,7,2,146,Several photos were at the movie theater.,"Yeah, it was Kate Winslet who several photos of were at the movie theater.",2AntI_CLIPS.mp3,Please rate how natural Anne's response sounds.
SI3,1,Cleft,Island,PS,7,3,147,Two paintings were in the politician's office.,"Yeah, it was George W. Bush who two paintings of were in the politician's office.",3AntI_CLIPS.mp3,Please rate how natural Anne's response sounds.
SI3,2,Cleft,Island,PS,7,4,148,Some samples were on the album.,"Yeah, it was Rihanna who some samples of were on the album.",4AntI_CLIPS.mp3,Please rate how natural Anne's response sounds.
SI3,3,Cleft,Island,PS,7,5,149,Four videos were on the campaign website.,"Yeah, it was Bill Clinton who four videos of were on the campaign website.",5AntI_CLIPS.mp3,Please rate how natural Anne's response sounds.
SI3,4,Cleft,Island,PS,7,6,150,Four drawings were on the fan website.,"Yeah, it was Justin Bieber who four drawings of were on the fan website.",6AntI_CLIPS.mp3,Please rate how natural Anne's response sounds.
SI3,5,Cleft,Island,PS,7,7,151,Five unflattering pictures were in the tabloids.,"Yeah, it was Adele who five unflattering pictures of were in the tabloids.",7AntI_CLIPS.mp3,Please rate how natural Anne's response sounds.
SI3,6,Cleft,Island,PS,7,8,152,Several statues were in the museum.,"Yeah, it was Abraham Lincoln who several statues of were in the museum.",8AntI_CLIPS.mp3,Please rate how natural Anne's response sounds.
SI3,7,Cleft,Island,PS,7,9,153,Many masks were in the artist's studio.,"Yeah, it was Richard Nixon who many masks of were in the artist's studio.",9AntI_CLIPS.mp3,Please rate how natural Anne's response sounds.
SI3,8,Cleft,Island,PS,7,10,154,A few images were on the CD album cover.,"Yeah, it was Beyoncé who a few images of were on the CD album cover.",10AntI_CLIPS.mp3,Please rate how natural Anne's response sounds.
SI3,1,Cleft,Island,PS,7,11,155,Five mug shots were in the book about early rock and roll.,"Yeah, it was Elvis Presley who five mug shots of were in the book about early rock and roll.",11AntI_CLIPS.mp3,Please rate how natural Anne's response sounds.
SI3,2,Cleft,Island,PS,7,12,156,Many amusing sketches were in the movie's storyboards.,"Yeah, it was Tom Cruise who many amusing sketches of were in the movie's storyboards.",12AntI_CLIPS.mp3,Please rate how natural Anne's response sounds.
SI3,3,Cleft,Island,PS,7,13,157,Three poems were in the literary anthology.,"Yeah, it was Aphrodite who three poems about were in the literary anthology.",13AntI_CLIPS.mp3,Please rate how natural Bill's response sounds.
SI3,4,Cleft,Island,PS,7,14,158,Several t.v. shows were on the fall lineup.,"Yeah, it was Marilyn Monroe who several t.v. shows about were on the fall lineup.",14AntI_CLIPS.mp3,Please rate how natural Bill's response sounds.
SI3,5,Cleft,Island,PS,7,15,159,Four biographies were in the library.,"Yeah, it was Albert Einstein who four biographies about were in the library.",15AntI_CLIPS.mp3,Please rate how natural Bill's response sounds.
SI3,6,Cleft,Island,PS,7,16,160,Two uplifting stories were in this month's Sports Illustrated.,"Yeah, it was Serena Williams who two uplifting stories about were in this month's Sports Illustrated.",16AntI_CLIPS.mp3,Please rate how natural Bill's response sounds.
SI3,7,Cleft,Island,PS,7,17,161,A few rumors were in this week's National Enquirer.,"Yeah, it was Madonna who a few rumors about were in this week's National Enquirer.",17AntI_CLIPS.mp3,Please rate how natural Bill's response sounds.
SI3,8,Cleft,Island,PS,7,18,162,Some shocking reports were in the evening news.,"Yeah, it was Bernie Sanders who some shocking reports about were in the evening news.",18AntI_CLIPS.mp3,Please rate how natural Bill's response sounds.
SI3,1,Cleft,Island,PS,7,19,163,Three books were on the syllabus.,"Yeah, it was Joseph Stalin who three books about were on the syllabus.",19AntI_CLIPS.mp3,Please rate how natural Bill's response sounds.
SI3,2,Cleft,Island,PS,7,20,164,Some documentaries were on the film festival schedule.,"Yeah, it was Audrey Hepburn who some documentaries about were on the film festival schedule.",20AntI_CLIPS.mp3,Please rate how natural Bill's response sounds.
SI3,3,Cleft,Island,PS,7,21,165,Two interesting articles were in the local newspaper.,"Yeah, it was Ruth Bader Ginsburg who two interesting articles about were in the local newspaper.",21AntI_CLIPS.mp3,Please rate how natural Bill's response sounds.
SI3,4,Cleft,Island,PS,7,22,166,A few funny jokes were on the radio program.,"Yeah, it was Ed Sheeran who a few funny jokes about were on the radio program.",22AntI_CLIPS.mp3,Please rate how natural Bill's response sounds.
SI3,5,Cleft,Island,PS,7,23,167,Five lies were in the interview.,"Yeah, it was George Michael who five lies about were in the interview.",23AntI_CLIPS.mp3,Please rate how natural Bill's response sounds.
SI3,6,Cleft,Island,PS,7,24,168,Three memos were in the diplomatic files.,"Yeah, it was Kim Jong Un who three memos about were in the diplomatic files.",24AntI_CLIPS.mp3,Please rate how natural Bill's response sounds.
SI3,8,Strip,Island,PS,8,1,169,Many posters were in the music store.,"Yeah, Katy Perry.",1AntI_StrPS.mp3,Please rate how natural Anne's response sounds.
SI3,1,Strip,Island,PS,8,2,170,Several photos were at the movie theater.,"Yeah, Kate Winslet.",2AntI_StrPS.mp3,Please rate how natural Anne's response sounds.
SI3,2,Strip,Island,PS,8,3,171,Two paintings were in the politician's office.,"Yeah, George W. Bush.",3AntI_StrPS.mp3,Please rate how natural Anne's response sounds.
SI3,3,Strip,Island,PS,8,4,172,Some samples were on the album.,"Yeah, Rihanna.",4AntI_StrPS.mp3,Please rate how natural Anne's response sounds.
SI3,4,Strip,Island,PS,8,5,173,Four videos were on the campaign website.,"Yeah, Bill Clinton.",5AntI_StrPS.mp3,Please rate how natural Anne's response sounds.
SI3,5,Strip,Island,PS,8,6,174,Four drawings were on the fan website.,"Yeah, Justin Bieber.",6AntI_StrPS.mp3,Please rate how natural Anne's response sounds.
SI3,6,Strip,Island,PS,8,7,175,Five unflattering pictures were in the tabloids.,"Yeah, Adele.",7AntI_StrPS.mp3,Please rate how natural Anne's response sounds.
SI3,7,Strip,Island,PS,8,8,176,Several statues were in the museum.,"Yeah, Abraham Lincoln.",8AntI_StrPS.mp3,Please rate how natural Anne's response sounds.
SI3,8,Strip,Island,PS,8,9,177,Many masks were in the artist's studio.,"Yeah, Richard Nixon.",9AntI_StrPS.mp3,Please rate how natural Anne's response sounds.
SI3,1,Strip,Island,PS,8,10,178,A few images were on the CD album cover.,"Yeah, Beyoncé.",10AntI_StrPS.mp3,Please rate how natural Anne's response sounds.
SI3,2,Strip,Island,PS,8,11,179,Five mug shots were in the book about early rock and roll.,"Yeah, Elvis Presley.",11AntI_StrPS.mp3,Please rate how natural Anne's response sounds.
SI3,3,Strip,Island,PS,8,12,180,Many amusing sketches were in the movie's storyboards.,"Yeah, Tom Cruise.",12AntI_StrPS.mp3,Please rate how natural Anne's response sounds.
SI3,4,Strip,Island,PS,8,13,181,Three poems were in the literary anthology.,"Yeah, Aphrodite.",13AntI_StrPS.mp3,Please rate how natural Bill's response sounds.
SI3,5,Strip,Island,PS,8,14,182,Several t.v. shows were on the fall lineup.,"Yeah, Marilyn Monroe.",14AntI_StrPS.mp3,Please rate how natural Bill's response sounds.
SI3,6,Strip,Island,PS,8,15,183,Four biographies were in the library.,"Yeah, Albert Einstein.",15AntI_StrPS.mp3,Please rate how natural Bill's response sounds.
SI3,7,Strip,Island,PS,8,16,184,Two uplifting stories were in this month's Sports Illustrated.,"Yeah, Serena Williams.",16AntI_StrPS.mp3,Please rate how natural Bill's response sounds.
SI3,8,Strip,Island,PS,8,17,185,A few rumors were in this week's National Enquirer.,"Yeah, Madonna.",17AntI_StrPS.mp3,Please rate how natural Bill's response sounds.
SI3,1,Strip,Island,PS,8,18,186,Some shocking reports were in the evening news.,"Yeah, Bernie Sanders.",18AntI_StrPS.mp3,Please rate how natural Bill's response sounds.
SI3,2,Strip,Island,PS,8,19,187,Three books were on the syllabus.,"Yeah, Joseph Stalin.",19AntI_StrPS.mp3,Please rate how natural Bill's response sounds.
SI3,3,Strip,Island,PS,8,20,188,Some documentaries were on the film festival schedule.,"Yeah, Audrey Hepburn.",20AntI_StrPS.mp3,Please rate how natural Bill's response sounds.
SI3,4,Strip,Island,PS,8,21,189,Two interesting articles were in the local newspaper.,"Yeah, Ruth Bader Ginsburg.",21AntI_StrPS.mp3,Please rate how natural Bill's response sounds.
SI3,5,Strip,Island,PS,8,22,190,A few funny jokes were on the radio program.,"Yeah, Ed Sheeran.",22AntI_StrPS.mp3,Please rate how natural Bill's response sounds.
SI3,6,Strip,Island,PS,8,23,191,Five lies were in the interview.,"Yeah, George Michael.",23AntI_StrPS.mp3,Please rate how natural Bill's response sounds.
SI3,7,Strip,Island,PS,8,24,192,Three memos were in the diplomatic files.,"Yeah, Kim Jong Un.",24AntI_StrPS.mp3,Please rate how natural Bill's response sounds.
